exp,workload,n_traces,speedup_vs_nopf,speedup_vs_pythia,precision,recall
proj_xpt,706.stockfish_r,3,1.0,1.0,,
proj_xpt,707.ntest_r,4,1.0,0.9989,99.84,0.11
proj_xpt,708.sqlite_r,12,1.0088,0.9094,99.66,31.05
proj_xpt,710.omnetpp_r,24,1.0,1.0032,90.42,8.9
proj_xpt,714.cpython_r,9,1.0002,0.9994,98.99,44.26
proj_xpt,721.gcc_r,7,1.0143,0.9026,92.26,19.14
proj_xpt,723.llvm_r,6,1.0014,0.9932,95.66,13.09
proj_xpt,727.cppcheck_r,12,1.0119,0.9289,99.26,17.29
proj_xpt,729.abc_r,26,1.0066,0.9524,97.58,22.22
proj_xpt,734.vpr_r,11,1.0042,0.9462,95.25,15.37
proj_xpt,735.gem5_r,4,1.0002,0.9998,98.57,17.24
proj_xpt,750.sealcrypto_r,2,1.0063,0.9742,96.61,48.34
proj_xpt,753.ns3_r,24,1.0001,1.0002,85.75,6.35
proj_xpt_pythia,706.stockfish_r,3,1.0,1.0,,
proj_xpt_pythia,707.ntest_r,4,1.0011,1.0,26.63,0.05
proj_xpt_pythia,708.sqlite_r,12,1.1094,1.0001,62.11,5.82
proj_xpt_pythia,710.omnetpp_r,24,0.9968,1.0,0.0,0.0
proj_xpt_pythia,714.cpython_r,9,1.0007,1.0,58.48,16.43
proj_xpt_pythia,721.gcc_r,7,1.1274,1.0033,55.07,0.82
proj_xpt_pythia,723.llvm_r,6,1.0083,1.0,61.62,2.83
proj_xpt_pythia,727.cppcheck_r,12,1.0891,0.9997,49.52,0.65
proj_xpt_pythia,729.abc_r,26,1.0564,0.9995,56.69,3.67
proj_xpt_pythia,734.vpr_r,11,1.0604,0.9991,53.12,1.82
proj_xpt_pythia,735.gem5_r,4,1.0005,1.0001,76.31,13.3
proj_xpt_pythia,750.sealcrypto_r,2,1.0329,1.0,90.02,23.76
proj_xpt_pythia,753.ns3_r,24,0.9999,1.0,73.18,1.16
