exp,key,n_traces,geo_nopf,geo_pythia,worst_vs_pythia,worst_trace,mean_prec,mean_recall,flag
e1_c009,f20+f21+f22|act=2|tr=24/-14,146,1.172716309850438,1.0193069282160736,0.9332379220980158,800.pot3d_s-pot3d_n1-1519B,81.4172602739726,79.71438356164383,True
e1_c000,f20+f21+f22|act=2|tr=8/-7,146,1.1724582034162216,1.019082586084559,0.9324256372567981,800.pot3d_s-pot3d_n1-1519B,83.3395205479452,77.99171232876714,True
e1_c005,f20+f21+f22|act=2|tr=16/-14,146,1.1723128520343409,1.0189562489053687,0.9459250377132248,800.pot3d_s-pot3d_n1-1519B,82.85356164383562,78.23698630136987,True
e1_c006,f20+f21+f22|act=2|tr=16/-21,146,1.1720549573471144,1.0187320908210715,0.945963717943759,800.pot3d_s-pot3d_n1-1519B,84.27691780821918,75.35212328767123,True
e1_c013,f20+f21+f22|act=2|tr=32/-21,146,1.1719172682692949,1.0186124135983858,0.9525751724736409,865.roms_s-benchmark3-2540B,81.46431506849315,78.68780821917808,True
e1_c002,f20+f21+f22|act=2|tr=8/-21,146,1.1719080358796983,1.0186043889477516,0.952191235059761,800.pot3d_s-pot3d_n1-1519B,86.26602739726027,71.36917808219178,True
e1_c001,f20+f21+f22|act=2|tr=8/-14,146,1.171858786479007,1.0185615821283074,0.9464665609407032,800.pot3d_s-pot3d_n1-1519B,85.1654794520548,74.23294520547945,True
e1_c004,f20+f21+f22|act=2|tr=16/-7,146,1.1718483084160773,1.0185524747576253,0.9297567013499402,800.pot3d_s-pot3d_n1-1519B,80.86856164383562,81.69246575342466,True
e1_c017,f20+f21+f22|act=8|tr=16/-21,146,1.1714776904040514,1.0182303392980887,0.9476656480872626,800.pot3d_s-pot3d_n1-1519B,86.76184931506849,68.89041095890411,True
e1_c014,f20+f21+f22|act=2|tr=32/-28,146,1.1714364732873201,1.0181945140159703,0.9357134568522029,800.pot3d_s-pot3d_n1-1519B,82.74404109589041,75.05684931506849,True
e1_c008,f20+f21+f22|act=2|tr=24/-7,146,1.1712099111318295,1.0179975896849762,0.9244188295362241,800.pot3d_s-pot3d_n1-1519B,79.30698630136986,83.05972602739726,True
e1_c010,f20+f21+f22|act=2|tr=24/-28,146,1.171035114690284,1.0178456593140943,0.9377635090705141,800.pot3d_s-pot3d_n1-1519B,84.01664383561643,73.72609589041096,True
e1_c007,f20+f21+f22|act=2|tr=16/-28,146,1.17098517357147,1.017802251263927,0.9570264618934312,800.pot3d_s-pot3d_n1-2026B,85.22520547945204,71.75486301369862,True
e1_c012,f20+f21+f22|act=2|tr=32/-14,146,1.1709150380202087,1.017741290524561,0.9320001547209222,800.pot3d_s-pot3d_n1-1519B,79.99301369863014,81.08664383561644,True
e1_c011,f20+f21+f22|act=2|tr=32/-7,146,1.170726106820357,1.017577074439778,0.9171082659652653,800.pot3d_s-pot3d_n1-1519B,77.85054794520548,84.22301369863014,True
e1_c003,f20+f21+f22|act=2|tr=8/-28,146,1.1705029831688998,1.0173831388034533,0.9515336711406801,800.pot3d_s-pot3d_n1-1519B,87.1227397260274,67.5545205479452,True
e1_c016,f20+f21+f22|act=8|tr=8/-21,146,1.1699678030777798,1.0169179685230199,0.9571036243376011,800.pot3d_s-pot3d_n1-1519B,89.68171232876713,59.619383561643836,True
e1_c015,f20+f21+f22|act=8|tr=8/-7,146,1.1696549405066508,1.0166460332018747,0.949058136386493,800.pot3d_s-pot3d_n1-1519B,88.25397260273972,65.14876712328767,True
