"rank","TraceName","speedup"
107,"821.gcc_s-oggenc_0001-39B",1.00069560874683
108,"821.gcc_s-huf_decompress_0011-54B",1.00071463349511
109,"821.gcc_s-oggenc_0001-48B",1.00072539110671
110,"821.gcc_s-huf_decompress_0004-15B",1.00074561106216
111,"823.llvm_s-dagcombiner_0002-6B",1.0008148047555
112,"821.gcc_s-unicodeobject_0015-31B",1.00081783050238
113,"821.gcc_s-unicodeobject_0006-20B",1.00084186273207
114,"821.gcc_s-oggenc_0017-69B",1.00084375444081
115,"823.llvm_s-generic_cpu_exec_6_0012-33B",1.00092588510207
116,"821.gcc_s-oggenc_0001-16B",1.00094101771954
117,"821.gcc_s-oggenc_0001-33B",1.001041550102
118,"853.ns3_s-tcp_validation-211B",1.00108331443831
119,"821.gcc_s-unicodeobject_0006-3B",1.00109320823985
120,"853.ns3_s-traffic_fqcodel-26B",1.00111794298491
121,"821.gcc_s-oggenc_0001-1B",1.00115160133656
122,"829.abc_s-ethernet_fraig-278B",1.00116349980742
123,"823.llvm_s-inst_constrs_3_0017-55B",1.00122318304136
124,"853.ns3_s-wifi_mixed_network-285B",1.00123195858811
125,"821.gcc_s-huf_decompress_0011-16B",1.00123372721811
126,"821.gcc_s-scalar_boundary_0003-21B",1.00144964219149
127,"821.gcc_s-huf_decompress_0004-40B",1.00165215566978
128,"821.gcc_s-oggenc_0017-70B",1.00166174298375
129,"821.gcc_s-huf_decompress_0011-55B",1.00181086149208
130,"823.llvm_s-gmodel_0001-17B",1.00195916234925
131,"821.gcc_s-lz4hc_0010-13B",1.00196259148821
132,"821.gcc_s-lz4hc_0007-11B",1.00197341743636
133,"821.gcc_s-huf_decompress_0011-12B",1.00201419965184
134,"801.xz_s-cld_2700-17B",1.00208516824602
135,"823.llvm_s-dagcombiner_0006-12B",1.00210480738006
136,"853.ns3_s-traffic_fqcodel-162B",1.00219512195122
137,"853.ns3_s-wifi_aggregation-31B",1.00223782964952
138,"821.gcc_s-lz4hc_0009-2B",1.00224683036431
139,"821.gcc_s-lz4_0002-30B",1.00229842787533
140,"821.gcc_s-unicodeobject_0006-36B",1.00231728895156
141,"823.llvm_s-standardinstrumentations_0014-1B",1.00239530667296
142,"853.ns3_s-wifi_aggregation-136B",1.00239855391532
143,"821.gcc_s-zstd_lazy_0019-1B",1.0024380442063
144,"853.ns3_s-wifi_aggregation-82B",1.00245374743681
145,"821.gcc_s-oggenc_0012-28B",1.0024562782472
146,"823.llvm_s-selectiondagbuilder_0007-16B",1.00250742329264
147,"853.ns3_s-wifi_mixed_network-312B",1.0027743242621
148,"853.ns3_s-wifi_mixed_network-109B",1.00289864995949
149,"823.llvm_s-insn_recog_0005-10B",1.00310806002637
150,"853.ns3_s-wifi_aggregation-216B",1.00323836468429
151,"821.gcc_s-lz4_0002-22B",1.00338979402966
152,"821.gcc_s-oggenc_0008-22B",1.00355251379979
153,"821.gcc_s-lz4hc_0009-15B",1.00356849056184
154,"821.gcc_s-lz4hc_0018-14B",1.0036156159334
155,"853.ns3_s-wifi_eht_network-80B",1.00366815172937
156,"823.llvm_s-standardinstrumentations_0014-11B",1.0036889683479
157,"834.vpr_s-wb_conmax_place-461B",1.00376906203122
158,"834.vpr_s-wb_conmax_route-461B",1.00384374788029
159,"823.llvm_s-dagcombiner_0006-13B",1.00389219358155
160,"821.gcc_s-unicodeobject_0014-45B",1.00389556643155
161,"823.llvm_s-dagcombiner_0006-6B",1.00421264539219
162,"821.gcc_s-lz4hc_0007-14B",1.00423060752575
163,"846.minizinc_s-gunport_problem2-16B",1.00424728645588
164,"846.minizinc_s-gunport_problem2-87B",1.00429205062517
165,"821.gcc_s-scalar_boundary_0003-28B",1.00431306798853
166,"823.llvm_s-passbuilderpipelines_0003-8B",1.00433002567483
167,"823.llvm_s-gmodel_0001-19B",1.00438870540629
168,"829.abc_s-ethernet_fraig-229B",1.0045007147233
169,"846.minizinc_s-gunport_problem2-66B",1.00463310793889
170,"853.ns3_s-tcp_validation-123B",1.00475844826196
171,"823.llvm_s-dagcombiner_0002-12B",1.00479520236968
172,"853.ns3_s-wifi_eht_network-123B",1.00480813401525
