"metric","category","ExpName","mean","n"
"Accuracy","AVG","Hermes-Core+Pythia",78.8228676470588,136
"Accuracy","AVG","Hermes-PCless9+Pythia",66.7657777777778,135
"Accuracy","AVG","Hermes-UnC+Pythia",85.4189726027397,146
"Accuracy","AVG","XPT+Pythia",65.386095890411,146
"Accuracy","specrate-fp","Hermes-Core+Pythia",76.8336666666667,30
"Accuracy","specrate-fp","Hermes-PCless9+Pythia",71.081,30
"Accuracy","specrate-fp","Hermes-UnC+Pythia",88.0106666666667,30
"Accuracy","specrate-fp","XPT+Pythia",69.3606666666667,30
"Accuracy","specrate-int","Hermes-Core+Pythia",77.1775,28
"Accuracy","specrate-int","Hermes-PCless9+Pythia",67.0367857142857,28
"Accuracy","specrate-int","Hermes-UnC+Pythia",88.2703571428571,28
"Accuracy","specrate-int","XPT+Pythia",67.8589285714286,28
"Accuracy","specspeed-fp","Hermes-Core+Pythia",89.2353125,32
"Accuracy","specspeed-fp","Hermes-PCless9+Pythia",66.95125,32
"Accuracy","specspeed-fp","Hermes-UnC+Pythia",87.8384375,32
"Accuracy","specspeed-fp","XPT+Pythia",71.31875,32
"Accuracy","specspeed-int","Hermes-Core+Pythia",73.8782608695652,46
"Accuracy","specspeed-int","Hermes-PCless9+Pythia",63.5884444444444,45
"Accuracy","specspeed-int","Hermes-UnC+Pythia",81.2223214285714,56
"Accuracy","specspeed-int","XPT+Pythia",58.6303571428571,56
"Coverage","AVG","Hermes-Core+Pythia",69.11125,136
"Coverage","AVG","Hermes-PCless9+Pythia",64.65,135
"Coverage","AVG","Hermes-UnC+Pythia",69.8432191780822,146
"Coverage","AVG","XPT+Pythia",5.3877397260274,146
"Coverage","specrate-fp","Hermes-Core+Pythia",63.4406666666667,30
"Coverage","specrate-fp","Hermes-PCless9+Pythia",71.0856666666667,30
"Coverage","specrate-fp","Hermes-UnC+Pythia",77.519,30
"Coverage","specrate-fp","XPT+Pythia",11.2813333333333,30
"Coverage","specrate-int","Hermes-Core+Pythia",76.5596428571429,28
"Coverage","specrate-int","Hermes-PCless9+Pythia",66.7617857142857,28
"Coverage","specrate-int","Hermes-UnC+Pythia",75.4089285714286,28
"Coverage","specrate-int","XPT+Pythia",2.19464285714286,28
"Coverage","specspeed-fp","Hermes-Core+Pythia",61.1025,32
"Coverage","specspeed-fp","Hermes-PCless9+Pythia",49.020625,32
"Coverage","specspeed-fp","Hermes-UnC+Pythia",62.5840625,32
"Coverage","specspeed-fp","XPT+Pythia",10.04,32
"Coverage","specspeed-int","Hermes-Core+Pythia",73.8469565217391,46
"Coverage","specspeed-int","Hermes-PCless9+Pythia",70.1597777777778,45
"Coverage","specspeed-int","Hermes-UnC+Pythia",67.0964285714286,56
"Coverage","specspeed-int","XPT+Pythia",1.16857142857143,56
