TraceName,ExpName,dram_read_reqs,Filter
721.gcc_r-ref32_O3_inline12000-390B,bw3200_xpt_pythia,14502452,1
721.gcc_r-ref32_O3_inline12000-390B,bw3200_normal,10770755,1
721.gcc_r-ref32_O3_inline12000-390B,bw3200_normal_pythia,15063415,1
721.gcc_r-ref32_O3_inline12000-41B,bw3200_nopf,5378466,1
721.gcc_r-ref32_O3_inline12000-41B,bw3200_pythia,7093683,1
721.gcc_r-ref32_O3_inline12000-41B,bw3200_xpt,5415038,1
721.gcc_r-ref32_O3_inline12000-41B,bw3200_xpt_pythia,7126576,1
721.gcc_r-ref32_O3_inline12000-41B,bw3200_normal,5646993,1
721.gcc_r-ref32_O3_inline12000-41B,bw3200_normal_pythia,7339140,1
722.palm_r-atmos-1670B,bw3200_nopf,2226260,1
722.palm_r-atmos-1670B,bw3200_pythia,2358867,1
722.palm_r-atmos-1670B,bw3200_xpt,2223974,1
722.palm_r-atmos-1670B,bw3200_xpt_pythia,2424914,1
722.palm_r-atmos-1670B,bw3200_normal,2228496,1
722.palm_r-atmos-1670B,bw3200_normal_pythia,2467346,1
722.palm_r-atmos-334B,bw3200_nopf,6198599,1
722.palm_r-atmos-334B,bw3200_pythia,6196571,1
722.palm_r-atmos-334B,bw3200_xpt,6200154,1
722.palm_r-atmos-334B,bw3200_xpt_pythia,6385049,1
722.palm_r-atmos-334B,bw3200_normal,6199317,1
722.palm_r-atmos-334B,bw3200_normal_pythia,6349607,1
723.llvm_r-codegen-388B,bw3200_nopf,4521869,1
723.llvm_r-codegen-388B,bw3200_pythia,7131208,1
723.llvm_r-codegen-388B,bw3200_xpt,4517850,1
723.llvm_r-codegen-388B,bw3200_xpt_pythia,7134943,1
723.llvm_r-codegen-388B,bw3200_normal,4581538,1
723.llvm_r-codegen-388B,bw3200_normal_pythia,7025000,1
727.cppcheck_r-738_diamond-320B,bw3200_nopf,1108378,1
727.cppcheck_r-738_diamond-320B,bw3200_pythia,1580769,1
727.cppcheck_r-738_diamond-320B,bw3200_xpt,1108385,1
727.cppcheck_r-738_diamond-320B,bw3200_xpt_pythia,1580834,1
727.cppcheck_r-738_diamond-320B,bw3200_normal,1108689,1
727.cppcheck_r-738_diamond-320B,bw3200_normal_pythia,1604883,1
