trace,workload,weight,nopref,pythia,xpt,xpt_pythia,hermes_unc,hermes_unc_pythia
749.fotonik3d_r-default-130B,749.fotonik3d_r,0.17656,0.35518,0.39331,0.35606,0.39049,0.36254,0.39124
749.fotonik3d_r-default-45B,749.fotonik3d_r,0.188737,0.32829,0.3604,0.32898,0.35988,0.33476,0.35765
749.fotonik3d_r-default-599B,749.fotonik3d_r,0.252664,0.30928,0.3436,0.31019,0.34321,0.31599,0.34234
749.fotonik3d_r-default-651B,749.fotonik3d_r,0.245053,0.35234,0.3891,0.35322,0.38792,0.35992,0.38736
765.roms_r-benchmark2-871B,765.roms_r,0.214011,0.59959,0.70144,0.60666,0.69812,0.62284,0.69502
765.roms_r-benchmark2-900B,765.roms_r,0.269438,0.5972,0.69841,0.60509,0.69482,0.62105,0.69125
765.roms_r-benchmark2-985B,765.roms_r,0.134719,0.33642,0.32904,0.33645,0.32515,0.34023,0.32184
800.pot3d_s-pot3d_n1-1067B,800.pot3d_s,0.188541,0.22827,0.26171,0.23558,0.25356,0.24246,0.25417
800.pot3d_s-pot3d_n1-1519B,800.pot3d_s,0.324117,0.22095,0.25853,0.22771,0.2566,0.23412,0.25495
800.pot3d_s-pot3d_n1-2026B,800.pot3d_s,0.197202,0.24845,0.27738,0.25571,0.26741,0.2621,0.27274
800.pot3d_s-pot3d_n1-2544B,800.pot3d_s,0.29014,0.25971,0.28541,0.26787,0.28432,0.2753,0.27887
809.cactus_s-shifted_gauge_wave-1690B,809.cactus_s,0.472211,0.73276,0.73336,0.73276,0.73336,0.73296,0.73343
809.cactus_s-shifted_gauge_wave-202B,809.cactus_s,0.395919,0.88079,0.91079,0.8806,0.91122,0.89132,0.91072
809.cactus_s-shifted_gauge_wave-6972B,809.cactus_s,0.072934,0.73219,0.73286,0.73219,0.73286,0.73244,0.73301
811.tealeaf_s-default-15369B,811.tealeaf_s,0.172861,0.8467,1.54175,0.88179,1.52906,0.91724,1.52748
811.tealeaf_s-default-16461B,811.tealeaf_s,0.181828,0.93827,1.57298,0.98425,1.57114,1.03565,1.57754
811.tealeaf_s-default-33315B,811.tealeaf_s,0.180474,0.93628,1.53147,0.97918,1.52823,1.02548,1.53722
811.tealeaf_s-default-34631B,811.tealeaf_s,0.153194,0.83254,1.48873,0.86456,1.47117,0.89581,1.47714
811.tealeaf_s-default-35333B,811.tealeaf_s,0.311643,0.80493,1.30455,0.8298,1.2897,0.84862,1.29636
820.cloverleaf_s-default-11714B,820.cloverleaf_s,0.171602,0.64913,1.27634,0.67035,1.27634,0.69236,1.27703
820.cloverleaf_s-default-11785B,820.cloverleaf_s,0.553926,1.26203,2.06589,1.32368,2.06589,1.39499,2.08076
820.cloverleaf_s-default-12184B,820.cloverleaf_s,0.087806,1.36734,1.99553,1.41114,1.99553,1.47445,2.0067
820.cloverleaf_s-default-2345B,820.cloverleaf_s,0.088779,0.60297,0.90094,0.57322,0.88561,0.63362,0.89756
821.gcc_s-lz4_0002-39B,821.gcc_s,0.121951,0.75546,0.80922,0.76135,0.81017,0.78633,0.82257
821.gcc_s-lz4hc_0007-10B,821.gcc_s,0.653846,0.70538,0.80971,0.71357,0.81105,0.75454,0.8376
821.gcc_s-lz4hc_0009-12B,821.gcc_s,0.12,0.79901,0.84259,0.80457,0.8433,0.82976,0.85577
821.gcc_s-lz4hc_0009-6B,821.gcc_s,0.12,0.58537,0.64911,0.5891,0.65117,0.62024,0.66689
821.gcc_s-lz4hc_0010-14B,821.gcc_s,0.125,0.5833,0.66628,0.58755,0.66661,0.61715,0.67944
821.gcc_s-lz4hc_0010-23B,821.gcc_s,0.75,0.73151,0.79745,0.73648,0.79901,0.75165,0.80133
821.gcc_s-lz4hc_0018-20B,821.gcc_s,0.142857,0.83407,0.93495,0.83989,0.93298,0.88188,0.9596
821.gcc_s-lz4hc_0018-31B,821.gcc_s,0.095238,0.82563,0.9212,0.83237,0.92389,0.86977,0.94479
821.gcc_s-unicodeobject_0006-1B,821.gcc_s,0.051282,0.98628,1.09578,0.99582,1.09667,1.03161,1.1096
821.gcc_s-unicodeobject_0015-26B,821.gcc_s,0.511111,0.72548,0.78007,0.73287,0.78248,0.74837,0.79092
822.palm_s-atmos-2602B,822.palm_s,0.099111,1.45673,1.76798,1.50083,1.76585,1.55246,1.77055
822.palm_s-atmos-35579B,822.palm_s,0.719045,1.46571,1.77438,1.50882,1.77215,1.56089,1.77703
822.palm_s-atmos-4359B,822.palm_s,0.05595,1.47976,1.79302,1.52425,1.79108,1.57871,1.79615
822.palm_s-atmos-6227B,822.palm_s,0.116807,1.46334,1.76945,1.5058,1.76719,1.55742,1.77193
823.llvm_s-dagcombiner_0002-14B,823.llvm_s,0.133333,0.68259,0.70545,0.68583,0.70483,0.71033,0.71127
823.llvm_s-dagcombiner_0002-4B,823.llvm_s,0.066667,0.67751,0.77699,0.68961,0.78558,0.73349,0.80076
823.llvm_s-dagcombiner_0006-4B,823.llvm_s,0.066667,0.67881,0.79323,0.69083,0.79132,0.73508,0.80424
823.llvm_s-etf_inst3_0005-11B,823.llvm_s,0.3,0.70602,0.79388,0.71745,0.80458,0.75974,0.8182
823.llvm_s-etf_inst3_0005-17B,823.llvm_s,0.25,0.91877,0.95407,0.92423,0.95394,0.95817,0.98007
823.llvm_s-etf_inst3_0011-10B,823.llvm_s,0.315789,1.13406,1.24759,1.15407,1.24776,1.20999,1.27951
823.llvm_s-etf_inst3_0011-14B,823.llvm_s,0.052632,0.71173,0.77401,0.71909,0.7809,0.764,0.81331
823.llvm_s-etf_inst3_0011-8B,823.llvm_s,0.105263,0.58075,0.69502,0.59499,0.69974,0.62896,0.72133
823.llvm_s-generic_cpu_exec_6_0012-25B,823.llvm_s,0.171429,0.55004,0.6266,0.55935,0.62436,0.60279,0.65503
823.llvm_s-grid_tools_0008-19B,823.llvm_s,0.155556,0.82758,0.88803,0.83149,0.88685,0.87289,0.92144
823.llvm_s-grid_tools_dof_handlers_0009-11B,823.llvm_s,0.380952,0.73393,0.82598,0.747,0.82483,0.80683,0.86439
823.llvm_s-insn_recog_0005-10B,823.llvm_s,0.178571,0.83282,0.95558,0.84713,0.93527,0.89578,0.95855
823.llvm_s-insn_recog_0005-14B,823.llvm_s,0.107143,0.5242,0.67025,0.54005,0.66902,0.57815,0.69504
823.llvm_s-insn_recog_0005-15B,823.llvm_s,0.178571,1.1932,1.28621,1.20353,1.28886,1.24182,1.30312
823.llvm_s-insn_recog_0005-26B,823.llvm_s,0.214286,1.16533,1.24053,1.18237,1.24631,1.22322,1.2585
823.llvm_s-inst_constrs_3_0017-27B,823.llvm_s,0.064516,1.12031,1.15792,1.13408,1.15841,1.17441,1.18301
823.llvm_s-inst_constrs_3_0017-35B,823.llvm_s,0.241935,1.25923,1.3557,1.26922,1.35981,1.32428,1.39614
823.llvm_s-matrix_free_0013-7B,823.llvm_s,0.375,0.60101,0.68695,0.61147,0.68885,0.65085,0.70901
823.llvm_s-matrix_free_0019-11B,823.llvm_s,0.125,0.82786,0.87097,0.83186,0.86973,0.86563,0.89843
823.llvm_s-matrix_free_0019-7B,823.llvm_s,0.3125,0.61553,0.70103,0.62591,0.70723,0.66459,0.72519
823.llvm_s-modelsmodule_0004-24B,823.llvm_s,0.340909,1.01242,1.11049,1.02885,1.11081,1.07621,1.13515
823.llvm_s-modelsmodule_0010-23B,823.llvm_s,0.25,1.22123,1.30583,1.23411,1.3064,1.28856,1.34193
823.llvm_s-particle_handler_0015-13B,823.llvm_s,0.266667,1.09446,1.17025,1.11388,1.17172,1.15609,1.19149
823.llvm_s-particle_handler_0015-5B,823.llvm_s,0.466667,0.89835,0.94259,0.90446,0.947,0.94695,0.9664
823.llvm_s-particle_handler_0018-13B,823.llvm_s,0.266667,1.09356,1.16141,1.10947,1.14819,1.14858,1.18137
823.llvm_s-particle_handler_0018-5B,823.llvm_s,0.133333,0.90065,0.9452,0.90671,0.94534,0.94908,0.97011
823.llvm_s-particle_handler_0018-8B,823.llvm_s,0.266667,0.5906,0.66188,0.59996,0.66444,0.65908,0.70173
823.llvm_s-passbuilderpipelines_0003-2B,823.llvm_s,0.076923,0.79766,0.87239,0.80583,0.8741,0.8528,0.89998
823.llvm_s-selectiondagbuilder_0007-4B,823.llvm_s,0.647059,0.65467,0.67926,0.66045,0.68698,0.69285,0.70016
823.llvm_s-standardinstrumentations_0014-2B,823.llvm_s,0.166667,0.86134,0.96122,0.87203,0.96078,0.91618,0.98029
829.abc_s-bitcoin-289B,829.abc_s,0.067715,1.62994,1.56396,1.65872,1.56396,1.6987,1.55349
829.abc_s-bitcoin-359B,829.abc_s,0.096735,0.19926,0.35015,0.2147,0.35015,0.23303,0.35238
829.abc_s-bitcoin-645B,829.abc_s,0.487304,1.11743,1.16777,1.1232,1.16708,1.15994,1.19639
829.abc_s-bitcoin-750B,829.abc_s,0.29867,0.77384,0.81303,0.77852,0.81303,0.81844,0.84766
829.abc_s-ethernet_fraig-12B,829.abc_s,0.055215,1.15324,1.30902,1.16598,1.31037,1.19454,1.3287
829.abc_s-ethernet_fraig-186B,829.abc_s,0.251534,0.86486,0.9162,0.87089,0.91827,0.90365,0.93856
834.vpr_s-sparct1_place-411B,834.vpr_s,0.576446,0.50467,0.54349,0.50498,0.54355,0.52421,0.5553
834.vpr_s-wb_conmax_place-461B,834.vpr_s,0.106918,0.96194,1.32659,1.0062,1.32649,1.06329,1.33159
834.vpr_s-wb_conmax_route-461B,834.vpr_s,0.162393,0.96252,1.32683,1.00677,1.32678,1.06396,1.33193
846.minizinc_s-yumi_dynamic-118B,846.minizinc_s,0.240741,0.45665,0.52681,0.46557,0.52782,0.48417,0.53381
846.minizinc_s-yumi_dynamic-119B,846.minizinc_s,0.311111,0.46135,0.52085,0.46899,0.52169,0.48691,0.52632
846.minizinc_s-yumi_dynamic-256B,846.minizinc_s,0.114815,0.31361,0.35549,0.3214,0.3555,0.33383,0.3606
846.minizinc_s-yumi_dynamic-40B,846.minizinc_s,0.333333,0.58093,0.55237,0.58155,0.55234,0.59159,0.56136
849.fotonik3d_s-default-11846B,849.fotonik3d_s,0.06438,0.65142,0.96675,0.66459,0.96675,0.68419,0.96647
849.fotonik3d_s-default-1927B,849.fotonik3d_s,0.263635,0.58702,0.58998,0.58681,0.58963,0.58599,0.58942
849.fotonik3d_s-default-2571B,849.fotonik3d_s,0.137265,0.55038,0.97387,0.56752,0.97387,0.58833,0.97817
849.fotonik3d_s-default-7623B,849.fotonik3d_s,0.156241,0.58644,0.58934,0.58627,0.58896,0.58552,0.58892
853.ns3_s-tcp_validation-187B,853.ns3_s,0.420168,0.1333,0.12636,0.13334,0.12601,0.13303,0.12641
854.graph500_s-bfs-1217B,854.graph500_s,0.073796,0.08107,0.08085,0.08118,0.08085,0.08215,0.08198
854.graph500_s-bfs-3313B,854.graph500_s,0.665274,0.54037,0.5414,0.54704,0.5414,0.54608,0.52695
865.roms_s-benchmark3-2365B,865.roms_s,0.07812,0.31332,0.32519,0.31623,0.32441,0.31854,0.32322
865.roms_s-benchmark3-2540B,865.roms_s,0.26274,0.21339,0.23047,0.2164,0.22717,0.21935,0.22239
865.roms_s-benchmark3-3753B,865.roms_s,0.388084,1.03634,1.28085,1.05939,1.27763,1.08468,1.27536
865.roms_s-benchmark3-7363B,865.roms_s,0.221086,0.46728,0.39292,0.47125,0.38992,0.46675,0.38685
867.nest_s-microcircuit-2574B,867.nest_s,0.468966,0.13912,0.15137,0.13906,0.15137,0.15519,0.16759
867.nest_s-microcircuit-9846B,867.nest_s,0.41105,0.23029,0.26507,0.23085,0.26505,0.25436,0.28848
881.neutron_s-rsbench_history-421B,881.neutron_s,0.997321,0.95743,0.95261,0.95743,0.95261,1.01841,1.01322
881.neutron_s-xsbench_event_unionized-1137B,881.neutron_s,0.114612,1.94605,2.0694,1.94961,2.0694,1.96143,2.06593
