exp,key,n_traces,geo_nopf,geo_pythia,worst_vs_pythia,worst_trace,mean_prec,mean_recall,flag
sweep04_c008,f20+f21+f22|act=2|w=65536x16384x65536,50,1.1633414724183353,1.0220369762494623,0.973836403614124,854.graph500_s-bfs-3313B,83.9436,76.34020000000001,True
sweep04_c009,f20+f21+f22|act=2|w=65536x65536x1024,50,1.1628992226914574,1.0216484440907438,0.9744646255612425,854.graph500_s-bfs-3313B,83.26700000000001,76.0464,True
sweep04_c003,f20+f21+f22|act=2|w=1024x65536x65536,50,1.1627649522725139,1.0215304827386984,0.9732636130152806,854.graph500_s-bfs-3313B,83.3616,75.8854,True
sweep04_c002,f20+f21+f22|act=2|w=16384x16384x16384,50,1.1620998571568724,1.0209461729577571,0.9727832079968958,854.graph500_s-bfs-3313B,83.7888,76.1532,True
sweep04_c000,f20+f21+f22|act=2|w=1024x1024x1024,50,1.1618692958490031,1.0207436166253978,0.973374475711831,854.graph500_s-bfs-3313B,82.47579999999999,74.8284,True
sweep04_c007,f20+f21+f22|act=2|w=65536x4096x65536,50,1.161853597574989,1.0207298251317685,0.9739472663106742,854.graph500_s-bfs-3313B,83.8936,76.2206,True
sweep04_c011,f20+f21+f22|act=2|w=65536x65536x16384,50,1.1614976195173883,1.0204170857115489,0.9742429001681419,854.graph500_s-bfs-3313B,83.88459999999999,76.2058,True
sweep04_c004,f20+f21+f22|act=2|w=4096x65536x65536,50,1.1613652378443482,1.0203007836901454,0.9727277766486206,854.graph500_s-bfs-3313B,83.5932,75.9918,True
sweep04_c001,f20+f21+f22|act=2|w=4096x4096x4096,50,1.1610755501995589,1.0200462827619512,0.9724506199072449,854.graph500_s-bfs-3313B,83.29960000000001,75.6292,True
sweep04_c010,f20+f21+f22|act=2|w=65536x65536x4096,50,1.160920797018586,1.0199103265729075,0.9718218693363252,800.pot3d_s-pot3d_n1-1519B,83.604,76.0584,True
sweep04_c005,f20+f21+f22|act=2|w=16384x65536x65536,50,1.1608853756376145,1.0198792076263548,0.9707430741348062,800.pot3d_s-pot3d_n1-1519B,83.68180000000001,75.9206,True
sweep04_c006,f20+f21+f22|act=2|w=65536x1024x65536,50,1.160758505211057,1.019767747431555,0.9700526452058341,800.pot3d_s-pot3d_n1-1519B,83.7886,75.4776,True
