exp,key,n_traces,geo_nopf,geo_pythia,worst_vs_pythia,worst_trace,mean_prec,mean_recall,flag
e4_c045,f20+f21+f22|act=2|w=65536x65536x65536|tr=8/-21|pb=2x16,50,1.161366697578009,1.0203020661182305,0.9687736738049927,854.graph500_s-bfs-3313B,85.29700000000001,70.0894,True
e4_c050,f20+f21+f22|act=2|w=65536x65536x65536|tr=8/-21|pb=128x16,50,1.1606163682370676,1.0196428750303266,0.9734483841761978,854.graph500_s-bfs-3313B,86.5308,71.1012,True
e4_c049,f20+f21+f22|act=2|w=65536x65536x65536|tr=8/-21|pb=32x16,50,1.1602999526570474,1.0193648926577308,0.9733190443635558,854.graph500_s-bfs-3313B,86.1162,72.1062,True
e4_c029,f20+f21+f22|act=2|w=8192x1024x16384|tr=8/-21|pb=64x16,50,1.1602892048170532,1.0193554502969542,0.9810609560059866,854.graph500_s-bfs-3313B,86.2674,70.76180000000001,False
e4_c048,f20+f21+f22|act=2|w=65536x65536x65536|tr=8/-21|pb=16x16,50,1.1600843809170416,1.0191755051953701,0.9711572217808244,854.graph500_s-bfs-3313B,85.87180000000001,71.173,True
e4_c046,f20+f21+f22|act=2|w=65536x65536x65536|tr=8/-21|pb=4x16,50,1.1600223029583325,1.0191209674945187,0.9697714380739455,854.graph500_s-bfs-3313B,85.559,70.28359999999999,True
e4_c022,f20+f21+f22|act=2|w=4096x1024x2048|tr=8/-21|pb=32x16,50,1.1600213047933727,1.019120090571,0.9730418876221799,854.graph500_s-bfs-3313B,85.48360000000001,70.35979999999999,True
e4_c019,f20+f21+f22|act=2|w=8192x1024x16384|tr=8/-21|pb=16x16,50,1.159919092428435,1.0190302933628088,0.970861587923357,854.graph500_s-bfs-3313B,85.6032,70.0116,True
e4_c017,f20+f21+f22|act=2|w=4096x1024x2048|tr=8/-21|pb=16x16,50,1.1598163295672195,1.0189400125240031,0.9702333659762385,854.graph500_s-bfs-3313B,85.1892,69.4674,True
e4_c026,f20+f21+f22|act=2|w=2048x1024x1024|tr=8/-21|pb=64x16,50,1.15978967586828,1.0189165962988311,0.9767843272633123,800.pot3d_s-pot3d_n1-1519B,85.602,69.8604,True
e4_c047,f20+f21+f22|act=2|w=65536x65536x65536|tr=8/-21|pb=8x16,50,1.1597401233237852,1.018873062621109,0.9695127584486614,854.graph500_s-bfs-3313B,85.5892,70.1812,True
e4_c044,f20+f21+f22|act=2|w=8192x1024x16384|tr=8/-21|pb=64x4,50,1.1596837502079873,1.018823536828229,0.9709170192716321,854.graph500_s-bfs-3313B,85.524,70.09020000000001,True
e4_c027,f20+f21+f22|act=2|w=4096x1024x2048|tr=8/-21|pb=64x16,50,1.159670656688149,1.0188120337040465,0.9803218713623179,854.graph500_s-bfs-3313B,85.7276,70.0612,False
e4_c042,f20+f21+f22|act=2|w=4096x1024x2048|tr=8/-21|pb=64x4,50,1.1596688108171975,1.018810412040579,0.9705844311819812,854.graph500_s-bfs-3313B,85.10379999999999,69.5394,True
e4_c039,f20+f21+f22|act=2|w=8192x1024x16384|tr=8/-21|pb=32x8,50,1.1596519322538064,1.0187955836206346,0.9709354963877238,854.graph500_s-bfs-3313B,85.58239999999999,69.9012,True
e4_c032,f20+f21+f22|act=2|w=4096x1024x2048|tr=8/-21|pb=128x16,50,1.159597528178497,1.018747787700053,0.9726353910681621,854.graph500_s-bfs-3313B,85.7834,69.09779999999999,True
