exp,key,n_traces,geo_nopf,geo_pythia,worst_vs_pythia,worst_trace,mean_prec,mean_recall,flag
sweep02_c004,f20+f21+f22|act=8,50,1.1625496699643696,1.0213413495525512,0.9779013691543025,854.graph500_s-bfs-3313B,85.82639999999999,72.028,True
sweep02_c001,f20+f21+f22|act=0,50,1.161875819522477,1.0207493479052234,0.9722658487463277,854.graph500_s-bfs-3313B,83.2882,77.60300000000001,True
sweep02_c002,f20+f21+f22|act=4,50,1.1612620113092205,1.02021009549727,0.9758134550359381,854.graph500_s-bfs-3313B,84.5134,74.8962,True
sweep02_c000,f20+f21+f22|act=-2,50,1.1606068328142134,1.0196344978212508,0.9691062618946436,854.graph500_s-bfs-3313B,82.3956,78.5864,True
sweep02_c003,f20+f21+f22|act=6,50,1.1606031347048178,1.0196312489002468,0.9770514218140833,854.graph500_s-bfs-3313B,85.1116,73.3804,True
sweep02_c008,f20+f21|act=11,50,1.1598151628103501,1.0189389874864787,0.9804512111749599,854.graph500_s-bfs-3313B,85.5206,69.7552,False
sweep02_c006,f21+f22|act=9,50,1.159676454541301,1.0188171273248317,0.978144119646499,749.fotonik3d_r-default-599B,84.7332,70.1578,True
sweep02_c005,f20+f21+f22|act=10,50,1.1594569268942014,1.018624264456994,0.9780788815051351,800.pot3d_s-pot3d_n1-1519B,86.3882,69.7186,True
sweep02_c007,f21+f22|act=11,50,1.159446196806907,1.0186148376925976,0.9794017675050986,749.fotonik3d_r-default-599B,85.4006,67.913,True
